test_case,n,N,alpha,algorithm,search_worst,search_average,usearch_worst,usearch_average,set_key_worst,set_key_average,delete_key_worst,delete_key_average,set_all_worst,set_all_average,delete_all_worst,delete_all_average
test_2_7.txt,128,426,0.3,Coalesced,3,1.13802,3,1.05208,16,1.88542,4,1.20833,4,1.24219,5,1.24219
test_2_7.txt,128,320,0.4,Chained,4,2.11979,4,1.39062,4,2.42708,5,3.19531,4,2.16406,5,3.07812
test_2_7.txt,128,320,0.4,Linear,7,1.22656,9,1.72917,9,1.80469,9,3.21615,6,1.27344,6,2.4375
test_2_7.txt,128,320,0.4,Cuckoo,2,1.39844,2,2,11,3.88802,2,1.45833,10,3.39844,2,1.51562
test_2_7.txt,128,320,0.4,Coalesced,3,1.20312,3,1.08854,27,2.34375,4,1.30208,4,1.41406,4,1.41406
test_2_7.txt,128,256,0.5,Chained,5,2.33333,5,1.53385,6,2.53906,6,3.41406,5,2.32031,5,3.17969
test_2_7.txt,128,256,0.5,Linear,13,1.66927,14,2.59635,13,2.47656,14,4.71615,9,1.625,13,3.02344
test_2_7.txt,128,256,0.5,Cuckoo,2,1.48958,2,2,12,4.39323,2,1.47656,12,3.57031,2,1.47656
test_2_7.txt,128,256,0.5,Coalesced,4,1.28125,4,1.16146,29,2.86198,5,1.41146,5,1.5,5,1.5
test_2_7.txt,128,213,0.6,Chained,4,2.29688,5,1.53646,6,2.65104,6,3.40885,5,2.35938,5,3.15625
test_2_7.txt,128,213,0.6,Linear,9,1.65365,16,3.32292,16,3.61458,16,5.66667,9,1.76562,15,3.3125
test_2_7.txt,128,213,0.6,Cuckoo,2,1.47656,2,2,399,4.99219,2,1.44792,14,3.79688,2,1.49219
test_2_7.txt,128,213,0.6,Coalesced,3,1.27344,3,1.19531,32,4.27865,4,1.47917,4,1.5,5,1.49219
test_2_7.txt,128,182,0.7,Chained,4,2.32292,4,1.66406,5,2.66667,5,3.27083,4,2.32031,5,3.17188
test_2_7.txt,128,182,0.7,Linear,18,1.63802,19,3.625,19,3.75,19,5.70573,13,1.67969,15,3.23438
